date,exercise,break,max weight,set1,set2,set3,set4,set5,set6,set7,set8,set9,set10
1/3/18,squat high,3m,175,9,7,7,5,5,,,,,
1/6/18,deadlift conventional,2m,240,4,4,4,4,4,,,,,
1/6/18,deadlift conventional,emom,185,4,4,4,4,4,4,4,4,,
1/8/18,squat high,1.5m,175,6,6,6,6,6,,,,,
1/8/18,squat high,emom,125,5,5,5,5,5,5,5,5,5,5
1/11/18,press overhead,3m,85,8,7,6,6,6,,,,,
1/12/18,deadlift conventional,2m,250,5,5,5,5,5,,,,,
1/15/18,squat high,3m,185,6,6,6,6,10,,,,,
1/15/18,squat high,emom,145,5,5,5,5,5,5,5,5,5,5
1/18/18,deadlift conventional,3m,260,5,5,5,5,5,,,,,
1/21/18,squat high,2m,195,6,6,6,6,6,6,,,,
1/22/18,press overhead,2m,90,7,6,5,4,5,,,,,
1/25/18,squat low,3m,205,6,6,5,4,4,,,,,
1/27/18,deadlift conventional,3m,260,4,3,3,5,5,,,,,
1/29/18,squat low,3m,205,5,5,5,5,5,,,,,
1/29/18,press overhead,1.5m,60,10,10,10,8,6,,,,,
2/2/18,squat low,1.5m,160,8,8,8,8,8,,,,,
2/2/18,press overhead,3m,90,4,5,4,4,5,,,,,
2/4/18,deadlift conventional,3m,260,4,5,5,,,,,,,
2/5/18,squat low,2.5m,200,6,6,6,6,6,,,,,
2/5/18,press overhead,1.5m,60,10,10,8,8,6,,,,,
2/8/18,deadlift conventional,3m,270,5,5,5,5,3,,,,,
2/10/18,squat low,3m,210,5,5,7,7,7,,,,,
2/12/18,press overhead,3m,90,6,6,6,6,6,,,,,
2/12/18,squat low,2m,160,10,10,10,10,10,,,,,
2/15/18,deadlift trap,2m,185,10,10,10,10,10,10,10,,,
2/17/18,deadlift conventional,3m,275,3,3,3,3,5,,,,,
2/19/18,squat low,3m,215,5,5,5,5,5,,,,,
2/22/18,deadlift conventional,3m,270,5,5,5,5,3,,,,,
2/24/18,squat low,3m,220,5,5,5,5,5,,,,,
2/24/18,press overhead,2m,95,3,5,4,3,4,,,,,
2/26/18,deadlift conventional,3.5m,270,5,5,4,4,4,,,,,
3/1/18,squat low,3m,225,5,4,2,2,2,,,,,
3/4/18,deadlift conventional,3m,270,5,5,5,5,5,,,,,
3/6/18,squat high,2m,185,5,5,5,5,5,,,,,
3/6/18,press overhead,1m,95,5,5,5,3,1,,,,,
3/8/18,deadlift conventional,4m,280,5,5,5,5,5,,,,,
3/9/18,squat low,3m,225,2,3,3,3,4,,,,,
3/12/18,deadlift conventional,3m,275,5,5,5,5,5,,,,,
3/15/18,press seated dumbell,2-3m,80,6,6,5,4,4,,,,,
3/15/18,clean unilateral,2-3m,70,50x5|5,60x5|5,70x5|5,,,,,,,
3/17/18,squat high,3m,195,5,5,5,5,5,,,,,
3/19/18,deadlift conventional,4m,290,2,2,2,,,,,,,
3/20/18,press overhead,2m,95,5,5,5,5,7,,,,,
3/22/18,squat low,3-4m,225,5,3,3,3,3,,,,,
3/23/18,deadlift conventional,3m,290,4,4,4,4,4,,,,,
3/25/18,squat low,3m,225,5,5,5,5,5,,,,,
3/27/18,press overhead,3m,100,5,5,5,5,7,,,,,
3/29/18,deadlift conventional,3-4m,290,3,5,3,3,2,220x5,,,,
3/31/18,squat high,3m,205,6,6,6,6,5,,,,,
3/31/18,press overhead,3m,105,5,5,3,3,4,,,,,
4/2/18,deadlift conventional,2m,220,6,6,6,6,6,,,,,
