date,exercise,break,max weight,set1,set2,set3,set4,set5,set6,set7,set8,set9,set10
1/3/19,press z,2m,40kgs,8,8,8,8,6,6,,,,
1/6/19,deadlift conventional,3m,110kgs,6,6,6,6,6,6,,,,
1/8/19,squat low,3m,110kgs,5,5,5,5,5,,,,,
1/12/19,press z,2m,42kgs,7,7,7,7,7,7,7,,,
1/16/19,deadlift conventional,2m,100kgs,7,7,7,7,7,7,,,,
1/20/19,press z,2m,44kgs,6,6,6,6,6,6,6,6,,
1/22/19,squat low,2m,100kgs,7,7,7,7,7,7,,,,
1/27/19,press z,2m,46kgs,6,6,6,6,6,6,6,,,
1/29/19,deadlift conventional,3.5m,120kgs,110kgsx6,4,4,4,4,4,,,,
2/3/19,press z,2m,47kgs,40kgsx10,6,6,6,6,6,5,,,
2/12/19,squat low,2m,110kgs,5,5,5,5,5,5,,,,
2/18/19,press z,2m,47kgs,7,7,6,4,44kgsx5,44kgsx4,44kgsx4,,,
2/26/19,deadlift conventional,3m,100kgs,7,8,7,7,7,7,7,,,
4/12/19,deadlift snatch grip,2m,70kgs,6,6,6,6,6,6,6,6,,
4/19/19,press z,1.5m,41kgs,7,7,7,7,6,4,,,,
4/29/19,squat low,3m,90kgs,8,8,8,8,8
